periodo,provincia,departamento,sector,ambito,PoblacionIndigenaInicial,PoblacionIndigenaPrimaria,PoblacionIndigenaSecundaria,BoliviaInicial,BrasilInicial,ChileInicial,ParaguayInicial,PeruInicial,UruguayInicial,OtrospaisesdeAmericaInicial,EuropaInicial,AsiaInicial,OtrosInicial,BoliviaPrimaria,BrasilPrimaria,ChilePrimaria,ParaguayPrimaria,PeruPrimaria,UruguayPrimaria,OtrospaisesdeAmericaPrimaria,EuropaPrimaria,AsiaPrimaria,OtrosPrimaria,BoliviaSecundaria,BrasilSecundaria,ChileSecundaria,ParaguaySecundaria,PeruSecundaria,UruguaySecundaria,OtrospaisesdeAmericaSecundaria,EuropaSecundaria,AsiaSecundaria,OtrosSecundaria
2011,BUENOS AIRES,CHACABUCO,Estatal,Rural,0,2,0,6,0,0,0,0,0,1,0,0,0,74,0,0,3,1,0,2,1,0,0,4,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,CHACABUCO,Estatal,Urbano,0,0,0,41,0,1,4,0,0,0,2,0,0,58,0,2,36,0,1,3,0,2,0,47,0,0,5,0,1,3,0,0,0
2011,BUENOS AIRES,CHACABUCO,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CHASCOMUS,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CHASCOMUS,Estatal,Urbano,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,34,0,2,1,4,0,0,0,0,0,12,0,1,0,3,0,0
2011,BUENOS AIRES,CHASCOMUS,Privado,Urbano,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0
2011,BUENOS AIRES,CHIVILCOY,Estatal,Rural,14,18,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CHIVILCOY,Estatal,Urbano,0,5,1,22,1,0,6,1,0,1,0,0,0,58,1,3,23,2,1,3,0,0,0,27,2,0,19,3,1,2,0,0,0
2011,BUENOS AIRES,CHIVILCOY,Privado,Urbano,0,0,0,0,1,0,1,0,0,2,1,0,0,0,3,2,0,0,0,3,3,0,0,0,1,0,0,0,1,2,2,0,0
2011,BUENOS AIRES,COLON,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,COLON,Estatal,Urbano,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1
2011,BUENOS AIRES,COLON,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0
